Distance,mag88t.grd,EMAG2_V3_20170530_Ã·»°4km.grd
0,84.913320105313,54.23954471127
45.106503007129,84.763444538662,54.114416848794
90.213006014258,84.607426627826,53.986513404908
135.31950902139,84.103915529855,53.855834521643
180.42601202852,83.568706685616,53.722380341016
225.53251503564,83.033025521044,53.586151005043
270.63901804277,82.496872060063,53.447146655728
315.7455210499,81.96024632659,53.30536743507
360.85202405703,81.423148344552,53.160813485059
405.95852706416,80.885578137853,53.013484947678
451.06503007129,80.347535730433,52.863381964899
496.17153307842,79.809021146171,52.710504678694
541.27803608555,79.270034409009,52.554853231019
586.38453909267,78.730575542848,52.396427763827
631.4910420998,78.190644571585,52.235228419063
676.59754510693,77.650241519142,52.071255338662
721.70404811406,77.109366409434,51.811356352831
766.81055112119,76.568019266358,51.456512902888
811.91705412832,76.02620011379,51.098234234102
857.02355713545,75.483908975697,50.728465304937
902.13006014258,74.941145875931,50.305450069727
947.2365631497,74.39791083839,49.878695057296
992.34306615683,73.854203887034,49.448200458974
1037.449569164,73.310025045703,49.013966466177
1082.5560721711,72.765374338314,48.575993270238
1127.6625751782,72.220251788763,48.134281062507
1172.7690781853,71.674657420933,47.688830034332
1217.8755811925,71.150047086996,47.239640377025
1262.9820841996,70.724767038841,46.786712281892
1308.0885872067,70.296397923418,46.330045940263
1353.1950902139,69.86493989862,45.869641543408
1398.301593221,69.430393122302,45.405499282622
1443.4080962281,68.992757752321,44.937619349183
1488.5145992353,68.552033946542,44.466001934331
1533.6211022424,68.108221862783,43.99064722934
1578.7276052495,67.661321658861,43.511555425466
1623.8341082566,67.211333492646,43.028726713898
1668.9406112638,66.758257521923,42.542161285882
1714.0471142709,66.302093904497,42.05185933263
1759.153617278,65.842842798158,41.557821045352
1804.2601202852,65.380504360698,41.060046615233
1849.3666232923,64.915078749921,40.558536233431
1894.4731262994,64.446566123563,40.05329009115
1939.5796293065,63.974966639407,39.544308379528
1984.6861323137,63.500280455197,39.031591289727
2029.7926353208,63.022507728706,38.515139012853
2074.8991383279,62.541648617631,37.994951740081
2120.0056413351,62.057703279721,37.471029662511
2165.1121443422,61.570671872702,36.943372971236
2210.2186473493,61.080554554258,36.411981857393
2255.3251503564,60.587351482127,35.876856512023
2300.4316533636,60.091062813984,35.337997126228
2345.5381563707,59.591688707527,34.795403891065
2390.6446593778,59.089229320427,34.249076997588
2435.751162385,58.583684810348,33.69901663686
2480.8576653921,58.075055334955,33.145222999905
2525.9641683992,57.5633410519,32.58769627775
2571.0706714063,57.048542118825,32.02643666141
2616.1771744135,56.530658693366,31.461444341893
2661.2836774206,56.009690933165,30.892719510169
2706.3901804277,55.4856389958,30.320262357273
2751.4966834349,54.95850303893,29.74407307412
2796.603186442,54.428283220115,29.164151851722
2841.7096894491,53.894979696967,28.562158408578
2886.8161924562,53.358592627073,27.935460060967
2931.9226954634,52.819122168006,27.304694458177
2977.0291984705,52.276568477323,26.669861808313
3022.1357014776,51.730931712587,26.030962319464
3067.2422044848,51.182212031337,25.387996199726
3112.3487074919,50.630409591158,24.740963657102
3157.455210499,50.075524549527,24.089864899728
3202.5617135061,49.624240274674,23.434700135599
3247.6682165133,49.271310678683,22.775469572762
3292.7747195204,48.912209197349,22.112173419256
3337.8812225275,48.546936146375,21.444811883042
3382.9877255347,48.175491841382,20.773385172171
3428.0942285418,47.797876598013,20.097893494636
3473.2007315489,47.414090731901,19.41833705839
3518.307234556,47.024134558682,18.734716071349
3563.4137375632,46.628008393872,18.047030741587
3608.5202405703,46.225712553087,17.355281276971
3653.6267435774,45.817247351886,16.659467885421
3698.7332465846,45.402613105776,15.959590774916
3743.8397495917,44.981810130303,15.255650153312
3788.9462525988,44.554838740969,14.54764622851
3834.0527556059,44.121699253223,13.835579208468
3879.1592586131,43.68239198258,13.119449300966
3924.2657616202,43.236917244476,12.399256713901
3969.3722646273,42.785275354324,11.675001655171
4014.4787676345,42.327466627567,10.946684332562
4059.5852706416,41.863491379585,10.21430495395
4104.6917736487,41.393349925771,9.4778637271298
4149.7982766558,40.917042581501,8.737360859884
4194.904779663,40.434569662102,7.9927965600687
4240.0112826701,39.945931482919,7.2441710354288
4285.1177856772,39.451128359269,6.4914844937439
4330.2242886844,38.95016060644,5.7347371427885
4375.3307916915,38.443028539706,4.9739291903401
4420.4372946986,37.929732474346,4.2090608440915
4465.5437977057,37.29900303867,3.44013231181
4510.6503007129,36.288997259581,2.6671438011654
4555.75680372,35.278118336083,1.8900955199191
4600.8633067271,34.266366312698,1.1089876757197
4645.9698097343,33.253741234007,0.32382047628627
4691.0763127414,32.240243144568,-0.46540587070521
4736.1828157485,31.225872088935,-1.2586911575856
4781.2893187556,30.210628111629,-2.0560351767374
4826.3958217628,29.194511257181,-2.8745932824919
4871.5023247699,28.177521570203,-3.7040625239243
4916.608827777,27.159659095184,-4.5377671817408
4961.7153307842,26.140923876645,-5.3757070392949
5006.8218337913,25.121315959195,-6.2178818798481
5051.9283367984,24.100835387293,-7.0642914868215
5097.0348398055,23.079482205494,-7.9598320283222
5142.1413428127,22.057256458357,-8.8591942597292
5187.2478458198,21.085311900775,-9.7592930977148
5232.3543488269,20.126826086665,-10.660128504621
5277.4608518341,19.165293408022,-11.561700442871
5322.5673548412,18.200714020698,-12.464008874765
5367.6738578483,17.233088080481,-13.367053762694
5412.7803608554,16.262415743128,-14.270835069062
5457.8868638626,15.288697164456,-15.175352756205
5502.9933668697,14.311932500224,-16.080606786514
5548.0998698768,13.3321219062,-16.986597122361
5593.206372884,12.349265538139,-17.893323726126
