Wall time,Step,Value
1745049885.993299,0,0.5426521897315979
1745049900.22714,1,0.550290584564209
1745049914.371489,2,0.5504300594329834
1745049928.490093,3,0.5508265495300293
1745049942.660236,4,0.5507359504699707
1745049956.775591,5,0.5512020587921143
1745049970.925317,6,0.5511075854301453
1745049985.016226,7,0.5510993599891663
1745049999.168302,8,0.551018476486206
1745050013.335129,9,0.551150918006897
1745050027.49236,10,0.5519571900367737
1745050041.65033,11,0.5516675710678101
1745050055.814429,12,0.5515069961547852
1745050069.978031,13,0.5515351295471191
1745050084.147144,14,0.5513538122177124
1745050098.251173,15,0.5510008335113525
1745050112.399259,16,0.5513491630554199
1745050126.551556,17,0.5515414476394653
1745050140.704371,18,0.5514722466468811
1745050154.806931,19,0.551555335521698
1745050168.919467,20,0.5516029596328735
1745050183.059681,21,0.5521506667137146
1745050197.232535,22,0.5515524744987488
1745050211.399522,23,0.551548957824707
1745050225.518001,24,0.5519930720329285
1745050239.661707,25,0.5512735247612
1745050253.770703,26,0.5514291524887085
1745050267.897691,27,0.5516497492790222
1745050282.074461,28,0.5518589019775391
1745050296.216049,29,0.5516088008880615
1745050310.337513,30,0.5517820119857788
1745050324.44223,31,0.551895797252655
1745050338.551207,32,0.5518362522125244
1745050352.712312,33,0.5518825054168701
1745050366.826558,34,0.5517355799674988
1745050380.992813,35,0.5515287518501282
1745050395.092619,36,0.5514810681343079
1745050409.202536,37,0.5516168475151062
1745050423.307012,38,0.5518357753753662
1745050437.427611,39,0.5520086288452148
1745050451.603358,40,0.5517591834068298
1745050465.713933,41,0.5516411066055298
1745050479.864972,42,0.5518829822540283
1745050494.042343,43,0.5518503785133362
1745050508.19618,44,0.5518485307693481
1745050522.296726,45,0.5522601008415222
1745050536.430153,46,0.5517164468765259
1745050550.573825,47,0.551986575126648
1745050564.68567,48,0.5520244240760803
1745050578.81316,49,0.551956832408905
1745050592.922529,50,0.5518785715103149
1745050607.123405,51,0.5518336296081543
1745050621.229759,52,0.5515786409378052
1745050635.346175,53,0.5522667169570923
1745050649.484764,54,0.5517376661300659
1745050663.594255,55,0.5521194934844971
1745050677.717289,56,0.5518004298210144
1745050691.835302,57,0.5518064498901367
1745050705.935658,58,0.5514376759529114
1745050720.065699,59,0.5517452955245972
1745050734.180395,60,0.5520563125610352
1745050748.364809,61,0.5518814325332642
1745050762.545967,62,0.5516787171363831
1745050776.70675,63,0.5516711473464966
1745050790.827157,64,0.5518156886100769
1745050804.942415,65,0.5517044067382812
1745050819.063763,66,0.5518923401832581
1745050833.242743,67,0.5520921349525452
1745050847.395833,68,0.5515037775039673
1745050861.539835,69,0.5522760152816772
1745050875.692505,70,0.5519582033157349
1745050889.872445,71,0.552194356918335
