Wall time,Step,Value
1745038753.337104,0,0.2695998549461365
1745038770.407249,1,0.16341274976730347
1745038787.385621,2,0.13149160146713257
1745038804.354948,3,0.11296286433935165
1745038821.348896,4,0.09980634599924088
1745038838.323893,5,0.08987516909837723
1745038855.304047,6,0.08183858543634415
1745038872.307379,7,0.07496897876262665
1745038889.309793,8,0.06961624324321747
1745038906.295958,9,0.06483916193246841
1745038923.264834,10,0.060858096927404404
1745038940.256231,11,0.05728108435869217
1745038957.236406,12,0.054068513214588165
1745038974.241999,13,0.05169769376516342
1745038991.235722,14,0.0490841343998909
1745039008.236324,15,0.04688830301165581
1745039025.243042,16,0.04503122717142105
1745039042.243957,17,0.04339423403143883
1745039059.234675,18,0.04174778610467911
1745039076.221883,19,0.040242426097393036
1745039093.223217,20,0.03864772617816925
1745039110.213961,21,0.03739551827311516
1745039127.214417,22,0.03638236224651337
1745039144.207223,23,0.03500352054834366
1745039161.200344,24,0.03418109938502312
1745039178.200301,25,0.033124733716249466
1745039195.185801,26,0.03222715109586716
1745039212.181904,27,0.03140263631939888
1745039229.175186,28,0.030540289357304573
1745039246.190633,29,0.029802173376083374
1745039263.19513,30,0.028927842155098915
1745039280.222756,31,0.028571704402565956
1745039297.214805,32,0.027765996754169464
1745039314.201201,33,0.026999037712812424
1745039331.21008,34,0.026393556967377663
1745039348.202579,35,0.026038339361548424
1745039365.197822,36,0.025337006896734238
1745039382.18501,37,0.024938594549894333
1745039399.169387,38,0.024586224928498268
1745039416.167344,39,0.024129405617713928
1745039433.175287,40,0.023597214370965958
1745039450.171951,41,0.023190991953015327
1745039467.182727,42,0.022626515477895737
1745039484.18711,43,0.022439543157815933
1745039501.209692,44,0.022074753418564796
1745039518.219502,45,0.021876633167266846
1745039535.231605,46,0.02142520062625408
1745039552.25448,47,0.021095089614391327
1745039569.250971,48,0.02067512273788452
1745039586.252799,49,0.020614000037312508
1745039603.24937,50,0.019867366179823875
1745039620.266154,51,0.019689911976456642
1745039637.261126,52,0.01996937207877636
1745039654.147788,53,0.019606146961450577
1745039671.158315,54,0.018938614055514336
1745039688.166458,55,0.01882278360426426
1745039705.178957,56,0.01853727176785469
1745039722.168624,57,0.018553011119365692
1745039739.043423,58,0.01784893311560154
1745039756.062482,59,0.018054869025945663
1745039772.947598,60,0.0176014993339777
1745039789.946011,61,0.01760750077664852
1745039806.838293,62,0.01743762567639351
1745039823.828805,63,0.017075976356863976
1745039840.839988,64,0.01690082624554634
1745039857.848813,65,0.016950303688645363
1745039874.75866,66,0.016825024038553238
1745039891.766423,67,0.016430241987109184
1745039908.773301,68,0.01640537939965725
1745039925.786523,69,0.016217781230807304
1745039942.782346,70,0.015963086858391762
1745039959.804328,71,0.01566937007009983
1745039976.834803,72,0.015847139060497284
1745039993.711813,73,0.015503410249948502
1745040010.730353,74,0.01532164216041565
1745040027.734305,75,0.015173657797276974
1745040044.73914,76,0.01506560668349266
1745040061.754328,77,0.015141762793064117
1745040078.651975,78,0.014801492914557457
1745040095.641205,79,0.0147923044860363
1745040112.661539,80,0.014500950463116169
1745040129.665947,81,0.014479493722319603
1745040146.684339,82,0.014337967149913311
1745040163.711595,83,0.014340600930154324
1745040180.598905,84,0.01408864464610815
1745040197.606813,85,0.014052681624889374
1745040214.611344,86,0.013995198532938957
1745040231.62472,87,0.013946169055998325
1745040248.643575,88,0.01365299616008997
1745040265.64713,89,0.013609688729047775
1745040282.648902,90,0.01374567300081253
1745040299.528113,91,0.013304166495800018
1745040316.551397,92,0.013278891332447529
1745040333.573354,93,0.013269010931253433
1745040350.59461,94,0.013141520321369171
1745040367.626526,95,0.013017076067626476
1745040384.650751,96,0.012795369140803814
1745040401.678392,97,0.012856361456215382
1745040418.590135,98,0.012826853431761265
1745040435.496148,99,0.012724225409328938
1745040452.513699,100,0.01252332516014576
1745040469.539191,101,0.012559902854263783
1745040486.446639,102,0.012502205558121204
1745040503.533559,103,0.012442747130990028
1745040520.606777,104,0.012569398619234562
1745040537.505477,105,0.011974628083407879
1745040554.538743,106,0.012147736735641956
1745040571.437257,107,0.012050480581820011
1745040588.334205,108,0.011979899369180202
1745040605.252257,109,0.011915820650756359
1745040622.277296,110,0.01191521156579256
1745040639.303324,111,0.011776058003306389
1745040656.332447,112,0.011734475381672382
1745040673.351827,113,0.011817986145615578
1745040690.272195,114,0.011478028260171413
1745040707.299149,115,0.011664990335702896
1745040724.219922,116,0.011401922442018986
1745040741.258419,117,0.011589527130126953
1745040758.176672,118,0.011063605546951294
1745040775.20925,119,0.011619707569479942
1745040792.127373,120,0.011079867370426655
1745040809.031696,121,0.011253571137785912
1745040825.916331,122,0.010993512347340584
1745040842.921351,123,0.011128110811114311
1745040859.810309,124,0.011088838800787926
1745040876.7264,125,0.010804221034049988
1745040893.743909,126,0.01093567069619894
1745040910.645827,127,0.011013979092240334
1745040927.529075,128,0.010716358199715614
1745040944.53216,129,0.010805272497236729
1745040961.437599,130,0.010558892041444778
1745040978.460864,131,0.01087272074073553
1745040995.362116,132,0.01068310346454382
1745041012.271551,133,0.010793602094054222
1745041029.163781,134,0.010457576252520084
1745041046.196625,135,0.010302533395588398
1745041063.22873,136,0.010387806221842766
1745041080.142106,137,0.0104231471195817
1745041097.032118,138,0.01027908269315958
1745041114.050329,139,0.010283851064741611
1745041130.943685,140,0.01028898824006319
1745041147.890933,141,0.010238202288746834
1745041164.917136,142,0.010041743516921997
1745041181.933063,143,0.010086264461278915
1745041198.83605,144,0.009977484121918678
1745041215.861345,145,0.010120985098183155
1745041232.762058,146,0.009958634153008461
1745041249.791229,147,0.010152553208172321
1745041266.708273,148,0.00986818503588438
1745041283.700102,149,0.010218093171715736
1745041300.620395,150,0.009753101505339146
1745041317.659049,151,0.009696663357317448
1745041334.685885,152,0.009868930093944073
1745041351.610492,153,0.009579624980688095
1745041368.644049,154,0.009891086257994175
1745041385.54615,155,0.009543763473629951
1745041402.560182,156,0.009685833007097244
1745041419.458553,157,0.009604289196431637
1745041436.359107,158,0.009557517245411873
1745041453.265402,159,0.009444857947528362
1745041470.296424,160,0.009576922282576561
1745041487.172876,161,0.00930117815732956
1745041504.180492,162,0.00946305226534605
1745041521.107692,163,0.009486342780292034
1745041538.012297,164,0.009107721969485283
1745041555.022836,165,0.009271826595067978
1745041571.929527,166,0.0095003517344594
1745041588.831886,167,0.009173366241157055
1745041605.733228,168,0.009490417316555977
1745041622.633779,169,0.008904622867703438
1745041639.65582,170,0.009106162004172802
1745041656.563113,171,0.009306812658905983
1745041673.468535,172,0.009009850211441517
1745041690.368494,173,0.00907376129180193
1745041707.278446,174,0.009006667882204056
1745041724.202733,175,0.008955082856118679
1745041741.094586,176,0.008972874842584133
1745041757.995202,177,0.008986282162368298
1745041774.896393,178,0.008988283574581146
