X synt_h0 synt_h1000 synt_h2000 synt_h3000 synt_h4000 synt_h4500 synt_h4800 1000m_nonregDC 2000m_nonregDC 3000m_nonregDC 4000m_nonregDC 4500m_nonregDC 4800m_nonregDC
38000 0.0624971 0.0528108 0.0414212 0.0285473 0.0145689 0.007323 0.0029332 0.05232273 0.04043418 0.02727258 0.01616812 0.01742809 0.02451968
39000 0.072346 0.0616806 0.0487521 0.0338021 0.0173168 0.008712 0.0034908 0.06118163 0.04770738 0.03193703 0.01034146 -0.01295756 -0.04225674
40000 0.0845041 0.0728503 0.058148 0.0406296 0.0209184 0.010537 0.0042237 0.07234332 0.05709967 0.03926873 0.02460798 0.03403369 0.06394939
41000 0.0996553 0.0871238 0.0704271 0.0497141 0.025767 0.013002 0.0052145 0.08660633 0.06931554 0.04765676 0.01601001 -0.02376488 -0.08223146
42000 0.1186951 0.1056423 0.0868322 0.0621459 0.0325078 0.016444 0.006599 0.1051167 0.08570294 0.06069338 0.03923382 0.05760649 0.1147892
43000 0.1427595 0.1300264 0.1092935 0.0797388 0.0422627 0.021453 0.0086182 0.1294953 0.1080807 0.07724414 0.02754586 -0.03831146 -0.1383816
44000 0.173188 0.1625378 0.1408737 0.1056605 0.0571162 0.02915 0.011728 0.1620158 0.1396615 0.1041327 0.06869972 0.09591432 0.1873402
45000 0.2112926 0.206151 0.1864576 0.145749 0.0812885 0.041852 0.0168815 0.2056588 0.18516 0.1424947 0.059613 -0.047211 -0.2044097
46000 0.257675 0.2641329 0.2535908 0.2113527 0.1243428 0.065044 0.0263583 0.2637336 0.252468 0.2095868 0.1388195 0.1534969 0.2667807
47000 0.3107208 0.3380832 0.3522086 0.3251839 0.2114372 0.114306 0.0467874 0.3378617 0.3513522 0.3216471 0.1861878 0.009139162 -0.228227
48000 0.364282 0.4225794 0.4876315 0.5284113 0.423071 0.249006 0.1048045 0.422671 0.4878408 0.527764 0.4237406 0.3049501 0.3343475
49000 0.4062992 0.4971131 0.6338034 0.8451143 1.0577454 0.84918 0.4094999 0.4975538 0.6355762 0.8498419 1.075582 0.8704617 0.2411096
50000 0.4225445 0.5281609 0.7041412 1.0558742 2.10837 4.203337 1.6887539 0.5287795 0.7069887 1.066401 2.099839 3.598251 5.463025
51000 0.4062993 0.4971132 0.6338035 0.8451137 1.0577458 0.84918 0.4094987 0.4975545 0.6355892 0.8500882 1.080041 0.8893135 0.2858739
52000 0.3642821 0.4225799 0.4876317 0.5284116 0.423072 0.249006 0.1048041 0.4226699 0.4878142 0.5272764 0.4151343 0.2687878 0.248656
53000 0.3107211 0.3380837 0.352209 0.3251844 0.2114375 0.114306 0.0467866 0.3378644 0.3513943 0.3223455 0.1981298 0.05908844 -0.1099455
54000 0.2576749 0.2641333 0.2535912 0.2113529 0.1243424 0.065044 0.0263583 0.2637302 0.2524172 0.2087776 0.1250077 0.09539579 0.1285834
55000 0.2112931 0.2061511 0.1864581 0.1457488 0.0812886 0.041853 0.0168812 0.2056622 0.1852056 0.1432663 0.07352229 0.01261416 -0.06040612
56000 0.1731883 0.1625379 0.1408738 0.1056604 0.0571165 0.02915 0.0117275 0.1620152 0.1396328 0.1035004 0.05595634 0.03912985 0.04824095
57000 0.1427596 0.1300261 0.1092934 0.079739 0.0422626 0.021453 0.0086184 0.1294958 0.1081008 0.07775584 0.03885726 0.01376062 -0.008685754
58000 0.1186951 0.1056421 0.0868323 0.0621461 0.0325077 0.016444 0.0065991 0.1051161 0.08568446 0.06024358 0.02902796 0.009765726 -0.005671637
59000 0.0996553 0.0871238 0.070427 0.0497142 0.025767 0.013002 0.0052145 0.08660719 0.06933441 0.04807515 0.02543032 0.0207646 0.0306201
60000 0.0845039 0.0728504 0.0581478 0.0406296 0.0209184 0.010537 0.0042238 0.0723421 0.05708182 0.03888689 0.01585258 -0.007821312 -0.04282272
61000 0.0723459 0.0616805 0.0487522 0.033802 0.0173168 0.008712 0.0034908 0.06118181 0.04771922 0.03226845 0.01856151 0.02703062 0.06050477
62000 0.0624971 0.0528112 0.0414214 0.0285475 0.0145692 0.007323 0.0029333 0.05232284 0.04042556 0.02696091 0.008042501 -0.02235455 -0.07788357
63000 0.0544402 0.0456721 0.0356016 0.0244208 0.012426 0.006241 0.0024991 0.04518875 0.03461484 0.02306641 0.0168916 0.04104534 0.1034908
64000 0.0477865 0.039853 0.030911 0.0211226 0.0107224 0.005382 0.002155 0.03937655 0.02993449 0.01933731 -0.0006168001 -0.04644889 -0.1343897
65000 0.0422408 0.0350552 0.0270784 0.0184467 0.0093458 0.004689 0.0018771 0.03458542 0.0261482 0.01751176 0.01988158 0.06541734 0.1660955
66000 0.0375781 0.0310581 0.0239091 0.0162461 0.0082178 0.004121 0.0016499 0.03058893 0.02293508 0.01417631 -0.008791809 -0.07277207 -0.1966108
67000 0.0336267 0.0276957 0.0212599 0.0144153 0.0072823 0.003651 0.0014614 0.02723305 0.02035625 0.01371942 0.02239657 0.08559491 0.2192672
68000 0.0302522 0.0248428 0.0190242 0.0128761 0.0064976 0.003256 0.0013033 0.02438023 0.01806451 0.01072522 -0.01368975 -0.08992417 -0.2398724
69000 0.0273504 0.022403 0.0171204 0.01157 0.0058328 0.002923 0.0011696 0.02194476 0.01622903 0.01095755 0.02319703 0.09707948 0.2523701
70000 0.0248384 0.0203012 0.0154867 0.0104523 0.0052652 0.002638 0.0010556 0.01984094 0.01453366 0.008286686 -0.01632511 -0.0992819 -0.2654279
71000 0.0226512 0.0184784 0.0140745 0.0094885 0.0047765 0.002392 0.0009574 0.01802099 0.01318361 0.008864017 0.02286578 0.1024993 0.2710525
72000 0.0207358 0.0168876 0.0128457 0.0086517 0.0043527 0.00218 0.0008723 0.01642856 0.01190065 0.006542803 -0.01743596 -0.1037235 -0.2801975
73000 0.0190499 0.015492 0.0117701 0.0079206 0.0039826 0.001994 0.0007979 0.01503436 0.01087452 0.007228896 0.02202918 0.1052864 0.2839777
74000 0.0175585 0.0142606 0.0108236 0.007278 0.0036579 0.001831 0.0007328 0.01380135 0.009885964 0.005250182 -0.01812897 -0.1078117 -0.2952412
75000 0.0162332 0.0131691 0.0099861 0.0067103 0.0033712 0.001688 0.0006753 0.01270903 0.009079383 0.005955696 0.02190378 0.1109921 0.3044992
76000 0.0150507 0.0121973 0.0092415 0.0062065 0.003117 0.00156 0.0006243 0.01173567 0.008301693 0.00416876 -0.02008431 -0.1179274 -0.325216
77000 0.0139912 0.0113284 0.008577 0.005757 0.0028904 0.001447 0.0005788 0.01086516 0.00766712 0.005064838 0.02386257 0.1250358 0.3451456
78000 0.0130385 0.0105484 0.0079812 0.0053546 0.0026876 0.001345 0.0005382 0.01008209 0.007028262 0.003195114 -0.02384827 -0.1366485 -0.376904
79000 0.0121789 0.0098457 0.0074452 0.0049928 0.0025053 0.001254 0.0005017 0.009377604 0.006528716 0.004403389 0.02742781 0.1470929 0.4071154
80000 0.0114008 0.0092104 0.0069612 0.0046665 0.0023411 0.001171 0.0004687 0.008739006 0.005996617 0.002371466 -0.02883993 -0.1631657 -0.4505617
81000 0.0106942 0.0086343 0.0065226 0.0043709 0.0021922 0.001097 0.0004388 0.008160251 0.005595665 0.003904552 0.03262946 0.1784289 0.4949709
82000 0.0100508 0.0081103 0.006124 0.0041026 0.0020574 0.001029 0.0004119 0.007632746 0.005145293 0.001605551 -0.03602569 -0.2018869 -0.5574291
83000 0.009463 0.0076322 0.0057607 0.0038581 0.0019343 0.000968 0.0003873 0.007150748 0.004824997 0.003633486 0.0410897 0.2260778 0.6258858
84000 0.008925 0.0071949 0.0054287 0.0036346 0.0018221 0.000912 0.0003646 0.006708837 0.004422557 0.0007482319 -0.04736821 -0.2612752 -0.7182408
85000 0.0084311 0.006794 0.0051245 0.0034302 0.0017194 0.00086 0.0003441 0.006304086 0.004185894 0.003648758 0.05461301 0.2986682 0.8218686
86000 0.0079769 0.0064254 0.004845 0.0032424 0.001625 0.000813 0.0003253 0.005929439 0.003802174 -0.0002559281 -0.06453051 -0.3501375 -0.956405
87000 0.007558 0.0060858 0.0045876 0.0030696 0.0015383 0.00077 0.0003078 0.005586314 0.003651796 0.003983975 0.07513113 0.406549 1.110558
88000 0.0071711 0.0057723 0.0043502 0.0029101 0.0014581 0.00073 0.0002918 0.005264392 0.003256096 -0.001519353 -0.09015524 -0.4819652 -1.307399
89000 0.0068129 0.0054823 0.0041306 0.0027628 0.0013841 0.000692 0.000277 0.004971773 0.00320596 0.004748053 0.1062116 0.5677996 1.539025
90000 0.0064807 0.0052135 0.0039272 0.0026263 0.0013157 0.000658 0.0002632 0.004691715 0.002765403 -0.003223254 -0.1292896 -0.6817325 -1.835282
91000 0.0061719 0.0049639 0.0037383 0.0024997 0.001252 0.000626 0.0002506 0.004440054 0.0028405 0.006225327 0.155293 0.8176794 2.195697
92000 0.0058846 0.0047316 0.0035627 0.0023819 0.001193 0.000597 0.0002386 0.00419204 0.002292707 -0.005871566 -0.1927576 -0.9986179 -2.660641
93000 0.0056168 0.0045152 0.0033992 0.0022723 0.0011379 0.000569 0.0002277 0.003977039 0.002572845 0.009108528 0.2374483 1.222862 3.240838
94000 0.0053667 0.0043132 0.0032465 0.00217 0.0010867 0.000544 0.0002174 0.003751162 0.001792601 -0.01046524 -0.3014595 -1.521665 -3.99176
95000 0.0051328 0.0041244 0.003104 0.0020746 0.0010388 0.00052 0.0002079 0.003569947 0.002452203 0.0149563 0.3819964 1.900126 4.935623
96000 0.0049137 0.0039476 0.0029705 0.0019851 0.0009939 0.000497 0.0001989 0.003351511 0.001127388 -0.01958698 -0.4952963 -2.393502 -6.124594
97000 0.0047083 0.003782 0.0028454 0.0019012 0.0009519 0.000476 0.0001904 0.003213572 0.002702129 0.02780063 0.636671 2.989508 7.526144
98000 0.0045155 0.0036264 0.0027281 0.0018227 0.0009126 0.000456 0.0001825 0.002958668 -0.0001860347 -0.03893638 -0.8114619 -3.658791 -9.030357
99000 0.004334 0.0034802 0.0026178 0.0017489 0.0008755 0.000438 0.0001752 0.00294807 0.004182926 0.0526102 0.972113 4.235144 10.28031
100000 0.0041633 0.0033426 0.002514 0.0016794 0.0008407 0.00042 0.0001682 0.00230832 -0.003087723 -0.06191766 -1.051885 -4.488505 -10.80244
