X,synt_h0,synt_h1000,synt_h3000,synt_h4500,synt_h4800,1000m_regDC,3000m_regDC,4500m_regDC,4800m_regDC
55000,0.2112931,0.2061511,0.1457488,0.041853,0.0168812,0.2056622,0.1430185,-0.005091215,-0.08372239
56000,0.1731883,0.1625379,0.1056604,0.02915,0.0117275,0.1620152,0.1033994,0.0254334,0.01443703
57000,0.1427596,0.1300261,0.079739,0.021453,0.0086184,0.1294958,0.07784836,0.03145647,0.03298947
58000,0.1186951,0.1056421,0.0621461,0.016444,0.0065991,0.1051161,0.06023871,0.005216668,-0.01629677
59000,0.0996553,0.0871238,0.0497142,0.013002,0.0052145,0.08660719,0.04801868,0.01147329,0.005680083
60000,0.0845039,0.0728504,0.0406296,0.010537,0.0042238,0.0723421,0.03896454,0.009804717,0.005931389
61000,0.0723459,0.0616805,0.033802,0.008712,0.0034908,0.06118181,0.0321793,0.004295949,-0.003846881
62000,0.0624971,0.0528112,0.0285475,0.007323,0.0029333,0.05232284,0.02708513,0.006395968,0.003249512
63000,0.0544402,0.0456721,0.0244208,0.006241,0.0024991,0.04518875,0.02286198,0.00325865,-0.0009336624
64000,0.0477865,0.039853,0.0211226,0.005382,0.002155,0.03937655,0.01966159,0.003017213,-0.0007366392
65000,0.0422408,0.0350552,0.0184467,0.004689,0.0018771,0.03458542,0.01705344,0.003365307,0.001155565
66000,0.0375781,0.0310581,0.0162461,0.004121,0.0016499,0.03058893,0.01475286,0.0009516324,-0.002428631
67000,0.0336267,0.0276957,0.0144153,0.003651,0.0014614,0.02723305,0.01305714,0.00224419,0.0004382375
68000,0.0302522,0.0248428,0.0128761,0.003256,0.0013033,0.02438023,0.01143929,0.0007112162,-0.001706164
69000,0.0273504,0.022403,0.01157,0.002923,0.0011696,0.02194476,0.01021895,0.001250578,-0.000334934
70000,0.0248384,0.0203012,0.0104523,0.002638,0.0010556,0.01984094,0.009028851,9.730716E-05,-0.001978053
71000,0.0226512,0.0184784,0.0094885,0.002392,0.0009574,0.01802099,0.00813426,0.0007367249,-0.0004869384
72000,0.0207358,0.0168876,0.0086517,0.00218,0.0008723,0.01642856,0.007249328,-0.0002150829,-0.001924423
73000,0.0190499,0.015492,0.0079206,0.001994,0.0007979,0.01503436,0.006548937,1.470005E-05,-0.001253684
74000,0.0175585,0.0142606,0.007278,0.001831,0.0007328,0.01380135,0.005910048,-1.146612E-06,-0.001037759
75000,0.0162332,0.0131691,0.0067103,0.001688,0.0006753,0.01270903,0.005299524,-0.0008396965,-0.002355103
76000,0.0150507,0.0121973,0.0062065,0.00156,0.0006243,0.01173567,0.004842951,-0.0001310645,-0.00089072
77000,0.0139912,0.0113284,0.005757,0.001447,0.0005788,0.01086516,0.004352508,-0.0008050049,-0.00194158
78000,0.0130385,0.0105484,0.0053546,0.001345,0.0005382,0.01008209,0.003959658,-0.0007422892,-0.001688728
79000,0.0121789,0.0098457,0.0049928,0.001254,0.0005017,0.009377604,0.003577125,-0.00091129,-0.001831628
80000,0.0114008,0.0092104,0.0046665,0.001171,0.0004687,0.008739006,0.003270061,-0.0007158199,-0.001382282
81000,0.0106942,0.0086343,0.0043709,0.001097,0.0004388,0.008160251,0.002915742,-0.001501184,-0.002664331
82000,0.0100508,0.0081103,0.0041026,0.001029,0.0004119,0.007632746,0.002713122,-0.0004832761,-0.0007468233
83000,0.009463,0.0076322,0.0038581,0.000968,0.0003873,0.007150748,0.002368055,-0.001864312,-0.003126174
84000,0.008925,0.0071949,0.0036346,0.000912,0.0003646,0.006708837,0.00221901,-0.0006443792,-0.0008053774
85000,0.0084311,0.006794,0.0034302,0.00086,0.0003441,0.006304086,0.001917874,-0.001937688,-0.003094252
86000,0.0079769,0.0064254,0.0032424,0.000813,0.0003253,0.005929439,0.001798477,-0.0009050348,-0.001183198
87000,0.007558,0.0060858,0.0030696,0.00077,0.0003078,0.005586314,0.001530176,-0.001846635,-0.002606889
88000,0.0071711,0.0057723,0.0029101,0.00073,0.0002918,0.005264392,0.001428363,-0.001134983,-0.001536805
89000,0.0068129,0.0054823,0.0027628,0.000692,0.000277,0.004971773,0.00118368,-0.002533962,-0.003941974
90000,0.0064807,0.0052135,0.0026263,0.000658,0.0002632,0.004691715,0.001122039,1.730314E-05,0.001316924
91000,0.0061719,0.0049639,0.0024997,0.000626,0.0002506,0.004440054,0.000874162,-0.003345509,-0.005726309
92000,0.0058846,0.0047316,0.0023819,0.000597,0.0002386,0.00419204,0.000807101,-0.002328721,-0.003562962
93000,0.0056168,0.0045152,0.0022723,0.000569,0.0002277,0.003977039,0.0006065645,0.002046804,0.006437062
94000,0.0053667,0.0043132,0.00217,0.000544,0.0002174,0.003751162,0.0006724038,-0.005311413,-0.010504
95000,0.0051328,0.0041244,0.0020746,0.00052,0.0002079,0.003569947,-0.000125651,-0.01078183,-0.01896035
96000,0.0049137,0.0039476,0.0019851,0.000497,0.0001989,0.003351511,0.001298647,0.02924095,0.05819126
97000,0.0047083,0.003782,0.0019012,0.000476,0.0001904,0.003213572,-0.000898148,-0.04028075,-0.07491665
98000,0.0045155,0.0036264,0.0018227,0.000456,0.0001825,0.002958668,-0.001392366,-0.01644372,-0.02991612
99000,0.004334,0.0034802,0.0017489,0.000438,0.0001752,0.00294807,0.007651399,0.1236791,0.2257732
100000,0.0041633,0.0033426,0.0016794,0.00042,0.0001682,0.00230832,-0.01396451,-0.1988935,-0.3527044
