Distance,mag88t_Measureline.grd,EMAG2_V3_20170530_Ã·»°4km.grd
0,127.17142860517,91.744123644551
23.567443555852,126.17024551907,91.445319438364
47.134887111703,125.17056601557,91.14683894159
70.702330667555,124.17239015349,90.848682166939
94.269774223407,123.17571799155,90.550849127086
117.83721777926,122.18054958838,90.2533398347
141.40466133511,121.18688500286,89.956154302506
164.97210489096,120.19472429359,89.659292543169
188.53954844681,119.20406751937,89.362754569387
212.10699200266,118.2149147389,89.066540393869
235.67443555852,117.2272660109,88.770650029269
259.24187911437,116.24112139409,88.475083488294
282.80932267022,115.25648094719,88.179840783619
306.37676622607,114.27334472892,87.884921927913
329.94420978192,113.291712798,87.59032693392
353.51165333777,112.31158521311,87.296055814264
377.07909689363,111.33296203297,87.002108581652
400.64654044948,111.06724754979,86.708485248773
424.21398400533,111.05643268044,86.415185828321
447.78142756118,111.04718196089,86.122210332973
471.34887111703,111.03949545229,85.8295587754
494.91631467288,111.03337321577,85.53723116831
518.48375822874,111.0288153125,85.245227524356
542.05120178459,111.02582180356,84.953547856232
565.61864534044,111.02439275011,84.66219217663
589.18608889629,111.02452821328,84.371160498216
612.75353245214,111.02622825423,84.08045283367
636.32097600799,111.02949293401,83.790069195692
659.88841956385,111.03432231379,83.500009596949
683.4558631197,111.04071645466,83.210274050135
707.02330667555,111.04867541779,82.920862567898
730.5907502314,111.05819926427,82.631775162947
754.15819378725,111.06928805519,82.343011847954
777.7256373431,111.0819418517,82.054572635591
801.29308089896,111.0961607149,81.766457538544
824.86052445481,111.11194470588,81.478666569479
848.42796801066,111.1292938858,81.191199741078
871.99541156651,111.14820831573,80.904057066014
895.56285512236,111.16868805672,80.617238556989
919.13029867821,111.19073317,80.330744226633
942.69774223407,111.21434371653,80.044574087668
966.26518578992,111.23951975753,79.758728152727
989.83262934577,111.26626135402,79.473206434517
1013.4000729016,111.29456856714,79.188008945689
1036.9675164575,111.3244414579,78.903135698945
1060.5349600133,111.35588008746,78.605673861051
